date,season,owner,teamId,player,pos,winBid,nBidders,topLoserBid
2021-10-20,2021,Iyano1911,689370,Ryan Tannehill,QB,2,1,
2021-10-20,2021,Iyano1911,689370,Mo Alie-Cox,TE,2,1,
2021-10-20,2021,SimonMiller,1029559,Jaret Patterson,RB,1,1,
2021-10-13,2021,Iyano1911,689370,Kadarius Toney,WR,38,4,35
2021-10-13,2021,levp,1030247,Khalil Herbert,RB,7,3,7
2021-10-13,2021,BurrowingMule,573215,Amon-Ra St. Brown,WR,6,2,2
2021-10-13,2021,Iyano1911,689370,Dan Arnold,TE,2,2,2
2021-10-08,2021,ajg21,573289,Buffalo Bills,D/ST,15,2,1
2021-10-08,2021,Brotesk,1519607,Maxx Williams,TE,10,1,
2021-10-06,2021,levp,1030247,Van Jefferson,WR,15,2,5
2021-10-06,2021,Iyano1911,689370,Samaje Perine,RB,11,3,10
2021-10-06,2021,madmax101010,1029198,Jamison Crowder,WR,10,2,10
2021-10-06,2021,Iyano1911,689370,Tre'Quan Smith,WR,3,1,
2021-10-06,2021,JGERK,573189,Alex Collins,RB,1,2,1
2021-09-29,2021,madmax101010,1029198,Tyler Conklin,TE,20,1,
2021-09-29,2021,Iyano1911,689370,Dalton Schultz,TE,6,1,
2021-09-29,2021,Ryan505,535566,Terrace Marshall,WR,3,1,
2021-09-29,2021,BurrowingMule,573215,Peyton Barber,RB,3,1,
2021-09-29,2021,Ryan505,535566,New Orleans Saints,D/ST,2,1,
2021-09-29,2021,Iyano1911,689370,Rodrigo Blankenship,K,1,1,
2021-09-22,2021,BurrowingMule,573215,Cam Akers,RB,41,1,
2021-09-22,2021,JGERK,573189,Cordarrelle Patterson,RB,23,3,13
2021-09-22,2021,BurrowingMule,573215,Daniel Carlson,K,11,1,
2021-09-22,2021,Ryan505,535566,K.J. Osborn,WR,8,3,3
2021-09-22,2021,Iyano1911,689370,Tennessee Titans,D/ST,6,1,
2021-09-22,2021,madmax101010,1029198,Carolina Panthers,D/ST,5,2,1
