date,season,owner,teamId,player,pos,winBid,nBidders,topLoserBid
2023-09-20,2023,zach_montoya,769096,Kansas City Chiefs,D/ST,2,1,
2023-09-15,2023,Brotesk,1519607,Zack Moss,RB,35,1,
2023-09-13,2023,BurrowingMule,573215,Puka Nacua,WR,75,5,35
2023-09-13,2023,levp,1030247,Justice Hill,RB,41,3,20
2023-09-13,2023,madmax101010,1029198,Hunter Henry,TE,26,1,
2023-09-13,2023,Chance145,1173487,Kendrick Bourne,WR,25,4,10
2023-09-13,2023,BurrowingMule,573215,Kyren Williams,RB,20,5,27
2023-09-13,2023,levp,1030247,Brock Purdy,QB,15,1,
2023-09-13,2023,Iyano1911,689370,Jordan Love,QB,12,3,11
2023-09-13,2023,madmax101010,1029198,Rashid Shaheed,WR,11,1,
2023-09-13,2023,levp,1030247,Hayden Hurst,TE,3,2,1
2023-09-08,2023,SimonMiller,1029559,Jaxon Smith-Njigba,WR,51,1,
2023-09-08,2023,ajg21,573289,Roschon Johnson,RB,10,1,
2023-09-06,2023,Iyano1911,689370,Jameson Williams,WR,45,2,1
2023-09-06,2023,SimonMiller,1029559,Tyjae Spears,RB,11,1,
2023-09-06,2023,SimonMiller,1029559,Jerome Ford,RB,11,1,
2023-09-06,2023,Brotesk,1519607,Marquez Valdes-Scantling,WR,10,1,
