player,source,auctionValue
Ladd McConkey,fftoday_2026_ppr12_200,19
D.J. Moore,fftoday_2026_ppr12_200,19
Travis Etienne,fftoday_2026_ppr12_200,18
Bhayshul Tuten,fftoday_2026_ppr12_200,18
Jaylen Waddle,fftoday_2026_ppr12_200,18
Mike Evans,fftoday_2026_ppr12_200,17
Christian Watson,fftoday_2026_ppr12_200,17
Tee Higgins,fftoday_2026_ppr12_200,17
Luther Burden III,fftoday_2026_ppr12_200,17
Rome Odunze,fftoday_2026_ppr12_200,17
D'Andre Swift,fftoday_2026_ppr12_200,16
Alec Pierce,fftoday_2026_ppr12_200,16
DK Metcalf,fftoday_2026_ppr12_200,16
Colston Loveland,fftoday_2026_ppr12_200,16
Quinshon Judkins,fftoday_2026_ppr12_200,15
Terry McLaurin,fftoday_2026_ppr12_200,14
Tyler Warren,fftoday_2026_ppr12_200,14
Drake Maye,fftoday_2026_ppr12_200,13
Lamar Jackson,fftoday_2026_ppr12_200,13
Jayden Daniels,fftoday_2026_ppr12_200,13
Jaylen Warren,fftoday_2026_ppr12_200,13
Michael Pittman Jr.,fftoday_2026_ppr12_200,13
Harold Fannin Jr.,fftoday_2026_ppr12_200,13
Jalen Hurts,fftoday_2026_ppr12_200,12
David Montgomery,fftoday_2026_ppr12_200,12
TreVeyon Henderson,fftoday_2026_ppr12_200,12
Tony Pollard,fftoday_2026_ppr12_200,12
Marvin Harrison Jr.,fftoday_2026_ppr12_200,12
Courtland Sutton,fftoday_2026_ppr12_200,12
Jayden Reed,fftoday_2026_ppr12_200,12
Chuba Hubbard,fftoday_2026_ppr12_200,11
Jadarian Price,fftoday_2026_ppr12_200,11
Rhamondre Stevenson,fftoday_2026_ppr12_200,11
Rachaad White,fftoday_2026_ppr12_200,11
Carnell Tate,fftoday_2026_ppr12_200,11
Kyle Pitts,fftoday_2026_ppr12_200,11
J.K. Dobbins,fftoday_2026_ppr12_200,10
Wan'Dale Robinson,fftoday_2026_ppr12_200,10
Jakobi Meyers,fftoday_2026_ppr12_200,10
Chris Godwin,fftoday_2026_ppr12_200,10
Travis Kelce,fftoday_2026_ppr12_200,10
Joe Burrow,fftoday_2026_ppr12_200,9
Bo Nix,fftoday_2026_ppr12_200,9
Rico Dowdle,fftoday_2026_ppr12_200,9
RJ Harvey,fftoday_2026_ppr12_200,9
Aaron Jones,fftoday_2026_ppr12_200,9
Khalil Shakir,fftoday_2026_ppr12_200,9
Michael Wilson,fftoday_2026_ppr12_200,9
Josh Downs,fftoday_2026_ppr12_200,9
Xavier Worthy,fftoday_2026_ppr12_200,9
Brian Thomas Jr.,fftoday_2026_ppr12_200,9
Romeo Doubs,fftoday_2026_ppr12_200,9
Jordan Addison,fftoday_2026_ppr12_200,9
Sam LaPorta,fftoday_2026_ppr12_200,9
Mark Andrews,fftoday_2026_ppr12_200,9
Dak Prescott,fftoday_2026_ppr12_200,8
Kenneth Gainwell,fftoday_2026_ppr12_200,8
Kyle Monangai,fftoday_2026_ppr12_200,8
Jordyn Tyson,fftoday_2026_ppr12_200,8
Parker Washington,fftoday_2026_ppr12_200,8
Quentin Johnston,fftoday_2026_ppr12_200,8
Brock Purdy,fftoday_2026_ppr12_200,7
Jared Goff,fftoday_2026_ppr12_200,7
Caleb Williams,fftoday_2026_ppr12_200,7
Jacory Croskey-Merritt,fftoday_2026_ppr12_200,7
Blake Corum,fftoday_2026_ppr12_200,7
Matthew Golden,fftoday_2026_ppr12_200,7
KC Concepcion,fftoday_2026_ppr12_200,7
Makai Lemon,fftoday_2026_ppr12_200,7
Jake Ferguson,fftoday_2026_ppr12_200,7
Justin Herbert,fftoday_2026_ppr12_200,6
Tyler Shough,fftoday_2026_ppr12_200,6
Jordan Mason,fftoday_2026_ppr12_200,6
Jonathon Brooks,fftoday_2026_ppr12_200,6
Tyrone Tracy Jr.,fftoday_2026_ppr12_200,6
Alvin Kamara,fftoday_2026_ppr12_200,6
Rashid Shaheed,fftoday_2026_ppr12_200,6
Tre Tucker,fftoday_2026_ppr12_200,6
Jerry Jeudy,fftoday_2026_ppr12_200,6
Deebo Samuel,fftoday_2026_ppr12_200,6
Tucker Kraft,fftoday_2026_ppr12_200,6
